instance,size,gurobi_model,objective,status,runtime,mip_gap,milp_variables,milp_constraints,formulation,solver,gurobi_optimum,true_gap_percent,is_feasible,total_violation,feasible_fraction,linking,qubo_variables_x,qubo_quadratic_terms_x,num_reads,best_energy,best_objective,best_is_feasible,best_total_violation,best_max_violation,best_feasible_objective,best_feasible_energy,num_samples,energy_mismatch,reported_best_energy,argmin_agreement,unique_samples,feasible_reads,sa_num_sweeps,sa_seed,qa_chain_strength,qa_chain_strength_alpha,qa_annealing_time,qa_chain_break_method,qa_chain_break_fraction,qa_wall_clock,qa_qpu_access_time_us,qa_qpu_sampling_time_us,embedding_status,logical_variables,physical_qubits,max_chain_length,mean_chain_length,embedding_search_time,qa_message,qubo_variables_y,qubo_terms,qubo_quadratic_terms_y,decision_variables,encoding_variables,slack_variables,qubo_min,qubo_max,qubo_range,penalty_objective_upper_bound,penalty_margin,penalty_lambda
4x4,4,,,OK,1.607708599884063,,,,MS,QA,2416.8364,,False,23.0,0.0,True,212.0,3384.0,1000.0,5329211.412899885,3760.842900000001,False,23.0,9.0,,,1000.0,8.734342523309799e-15,5329211.412900062,True,1000.0,0.0,,,9940841.064,1.5,20.0,majority_vote,0.0023537735849056,1.607708599884063,257379.96,241620.0,OK,212.0,1555.0,18.0,7.334905660377358,46.00454089976847,,120,2660,2540,4,92,24,-26508909.504000004,28995066.636400003,55503976.14040001,5379.243,1.1,5917.167300000001
6x6,6,,,OK,1.1891129002906382,,,,SS,QA,4886.794,,False,11.0,0.0,False,79.0,571.0,1000.0,3054411.360099961,6281.4159,False,11.0,6.0,,,1000.0,2.610729378177201e-15,3054411.3601000123,True,1000.0,0.0,,,33561856.300500005,1.5,20.0,majority_vote,0.0098987341772151,1.1891129002906382,142398.76,126640.0,OK,79.0,271.0,7.0,3.430379746835443,2.4489138000644743,,79,650,571,42,0,37,-89498283.46800001,61754762.879020005,151253046.34702003,11791.6052,1.1,12970.76572
6x6,6,,,OK,1.2218156000599265,,,,SS,QA,4886.794,,False,3.0,0.0,True,115.0,643.0,1000.0,2976466.6460799747,6161.2962,False,3.0,1.0,,,1000.0,3.3473186460102957e-15,2976466.646079998,True,1000.0,0.0,,,33571584.374790005,1.5,20.0,majority_vote,0.0296260869565217,1.2218156000599265,161919.16,146160.0,OK,115.0,341.0,8.0,2.965217391304348,2.0509044998325408,,79,650,571,42,0,37,-89498283.46800001,61754762.879020005,151253046.34702003,11791.6052,1.1,12970.76572
6x6,6,,,NOT_EMBEDDABLE,,,,,MS,QA,3968.8513,,False,,,False,259.0,8701.0,0.0,,,False,,,,,0.0,,,,,,,,,,,,,,,,NOT_EMBEDDABLE,259.0,0.0,0.0,,307.4534595999867,"QUBO 변수 259개를 QPU 그래프에 embedding하지 못했습니다 (seed=2024, timeout=300s).",259,8960,8701,6,216,37,-57278901.419520006,61754762.879020005,119033664.29854,11791.6052,1.1,12970.76572
6x6,6,,,NOT_EMBEDDABLE,,,,,MS,QA,3968.8513,,False,,,True,475.0,10753.0,0.0,,,False,,,,,0.0,,,,,,,,,,,,,,,,NOT_EMBEDDABLE,475.0,0.0,0.0,,307.8256224999204,"QUBO 변수 475개를 QPU 그래프에 embedding하지 못했습니다 (seed=2024, timeout=300s).",259,8960,8701,6,216,37,-57278901.419520006,61754762.879020005,119033664.29854,11791.6052,1.1,12970.76572
8x8,8,,,OK,1.3438653000630438,,,,SS,QA,3952.5153,,False,40.0,0.0,False,117.0,1030.0,1000.0,37732043.26144028,6583.5495,False,40.0,15.0,,,1000.0,2.645212827808053e-15,37732043.261439785,True,1000.0,0.0,,,126316302.75263998,1.5,20.0,majority_vote,0.0005299145299145,1.3438653000630438,195956.36,180200.0,OK,117.0,619.0,11.0,5.2905982905982905,4.375632000155747,,117,1147,1030,72,0,45,-336843474.00704,384213301.75078,721056775.7578199,16385.9878,1.1,18024.58658
8x8,8,,,OK,1.3564102002419531,,,,SS,QA,3952.5153,,False,73.0,0.0,True,181.0,1158.0,1000.0,39823661.20311982,7349.447899999999,False,73.0,20.0,,,1000.0,3.719086797372313e-15,39823661.203119785,True,1000.0,0.0,,,126316302.75263998,1.5,20.0,majority_vote,0.0005027624309392,1.3564102002419531,213739.56,197980.0,OK,181.0,720.0,12.0,3.977900552486188,7.641395600046962,,117,1147,1030,72,0,45,-336843474.00704,384213301.75078,721056775.7578199,16385.9878,1.1,18024.58658
8x8,8,,,NOT_EMBEDDABLE,,,,,MS,QA,3626.6311,,False,,,False,413.0,17603.0,0.0,,,False,,,,,0.0,,,,,,,,,,,,,,,,NOT_EMBEDDABLE,413.0,0.0,0.0,,312.805055399891,"QUBO 변수 413개를 QPU 그래프에 embedding하지 못했습니다 (seed=2024, timeout=300s).",413,18016,17603,8,360,45,-336843474.00704,384213301.75078,721056775.7578199,16385.9878,1.1,18024.58658
8x8,8,,,NOT_EMBEDDABLE,,,,,MS,QA,3626.6311,,False,,,True,773.0,20843.0,0.0,,,False,,,,,0.0,,,,,,,,,,,,,,,,NOT_EMBEDDABLE,773.0,0.0,0.0,,313.6785331000574,"QUBO 변수 773개를 QPU 그래프에 embedding하지 못했습니다 (seed=2024, timeout=300s).",413,18016,17603,8,360,45,-336843474.00704,384213301.75078,721056775.7578199,16385.9878,1.1,18024.58658
15x15,15,,,OK,2.0112220998853445,,,,SS,QA,8489.1855,,False,19.0,0.0,False,329.0,5026.0,1000.0,1350275522.5491495,14123.198,False,19.0,8.0,,,1000.0,3.4735508832197757e-15,1350275522.5491502,True,1000.0,0.0,,,281134690.87275004,1.5,20.0,majority_vote,0.1850851063829787,2.0112220998853445,289658.76,273900.0,OK,329.0,4494.0,34.0,13.659574468085106,132.87719219969586,,329,5355,5026,240,0,89,-749692508.9940001,828988069.9566501,1578680578.9506502,56984.836500000005,1.1,62683.32015000001
15x15,15,,,NOT_EMBEDDABLE,,,,,SS,QA,8489.1855,,False,,,True,554.0,5476.0,0.0,,,False,,,,,0.0,,,,,,,,,,,,,,,,NOT_EMBEDDABLE,554.0,0.0,0.0,,305.7978913998232,"QUBO 변수 554개를 QPU 그래프에 embedding하지 못했습니다 (seed=2024, timeout=300s).",329,5355,5026,240,0,89,-749692508.9940001,828988069.9566501,1578680578.9506502,56984.836500000005,1.1,62683.32015000001
15x15,15,,,NOT_EMBEDDABLE,,,,,MS,QA,7909.2986,,False,,,False,1439.0,123857.0,0.0,,,False,,,,,0.0,,,,,,,,,,,,,,,,NOT_EMBEDDABLE,1439.0,0.0,0.0,,432.9948175000027,"QUBO 변수 1439개를 QPU 그래프에 embedding하지 못했습니다 (seed=2024, timeout=300s).",1439,125296,123857,15,1335,89,-749692508.9940001,828988069.9566501,1578680578.9506502,56984.836500000005,1.1,62683.32015000001
15x15,15,,,NOT_EMBEDDABLE,,,,,MS,QA,7909.2986,,False,,,True,2774.0,136427.0,0.0,,,False,,,,,0.0,,,,,,,,,,,,,,,,NOT_EMBEDDABLE,2774.0,0.0,0.0,,378.66180759994313,"QUBO 변수 2774개를 QPU 그래프에 embedding하지 못했습니다 (seed=2024, timeout=300s).",1439,125296,123857,15,1335,89,-749692508.9940001,828988069.9566501,1578680578.9506502,56984.836500000005,1.1,62683.32015000001
