instance,formulation,mode,capacity_multiplier,ratio,lambda_capacity,lambda_assignment,qubo_variables,qubo_quadratic_terms,qubo_range,max_abs_coupling,assignment_strength,capacity_strength,objective_strength,status,feasible_fraction,best_feasible_objective,true_gap_percent,runtime,sampler,embedding_status,physical_qubits,max_chain_length,mean_chain_length,embedding_search_time,qa_chain_strength,qa_chain_break_fraction,logical_variables
15x15,SS,offline,1.1,2000.0,62683.32015000001,125366640.30000001,329,5026,1578680578.9506502,187423127.24850002,1.3377926421404682,1.2949832775919734,1.3273762083275187e-07,OK,0.003,12247.4213,44.270864383868165,3.3870767997577786,SimulatedAnnealing,NOT_EMBEDDABLE,0,0,,304.4878336000256,,,
15x15,SS,offline,1.1,5000.0,62683.32015000001,313416600.75000006,329,5026,1578680578.9506502,187423127.24850002,3.344481605351171,1.2949832775919734,1.3273762083275187e-07,OK,0.0,,,3.152342100162059,SimulatedAnnealing,NOT_EMBEDDABLE,0,0,,304.4878336000256,,,
4x4,SS,qpu,1.1,1.0,5917.167300000001,5917.167300000001,44,246,59645993.25040001,7662731.653500001,0.0015444015444015,2.1142857142857143,8.614786865183807e-06,OK,0.004,2426.5714,0.4027992958066865,1.5061799003742635,DWaveSampler,OK,105,4,2.386363636363636,0.6454117996618152,11494097.48025,0.0162272727272727,44.0
4x4,SS,qpu,1.1,10.0,5917.167300000001,59171.67300000001,44,246,59645993.25040001,7662731.653500001,0.0154440154440154,2.1142857142857143,8.614786865183807e-06,OK,0.005,3085.3246,27.659638029284885,1.2558292001485825,DWaveSampler,OK,105,4,2.386363636363636,0.6454117996618152,11494097.48025,0.0155681818181818,44.0
4x4,SS,qpu,1.1,50.0,5917.167300000001,295858.36500000005,44,246,59645993.25040001,7662731.653500001,0.0772200772200772,2.1142857142857143,8.614786865183807e-06,OK,0.004,3061.0476000000003,26.655143062227964,1.2264887997880578,DWaveSampler,OK,105,4,2.386363636363636,0.6454117996618152,11494097.48025,0.0161590909090909,44.0
4x4,SS,qpu,1.1,100.0,5917.167300000001,591716.7300000001,44,246,59645993.25040001,7662731.653500001,0.1544401544401544,2.1142857142857143,8.614786865183807e-06,OK,0.006,2967.4581,22.782746072510317,1.2512400997802615,DWaveSampler,OK,105,4,2.386363636363636,0.6454117996618152,11494097.48025,0.0161363636363636,44.0
4x4,SS,qpu,1.1,200.0,5917.167300000001,1183433.4600000002,44,246,59645993.25040001,7662731.653500001,0.3088803088803089,2.1142857142857143,8.614786865183807e-06,OK,0.014,2426.5714,0.4027992958066865,1.2421749997884035,DWaveSampler,OK,105,4,2.386363636363636,0.6454117996618152,11494097.48025,0.0166590909090909,44.0
4x4,SS,qpu,1.1,500.0,5917.167300000001,2958583.6500000004,44,246,59645993.25040001,7662731.653500001,0.7722007722007722,2.1142857142857143,8.614786865183807e-06,OK,0.04,2416.8364,0.0,0.789586799684912,DWaveSampler,OK,105,4,2.386363636363636,0.6454117996618152,11494097.48025,0.0158636363636363,44.0
4x4,SS,qpu,1.1,1000.0,5917.167300000001,5917167.300000001,44,246,59645993.25040001,7662731.653500001,1.5444015444015444,2.1142857142857143,8.614786865183807e-06,OK,0.067,2416.8364,0.0,0.7213479997590184,DWaveSampler,OK,105,4,2.386363636363636,0.6454117996618152,11494097.48025,0.0144318181818181,44.0
4x4,SS,qpu,1.1,2000.0,5917.167300000001,11834334.6,44,246,59645993.25040001,7662731.653500001,3.088803088803089,2.1142857142857143,8.614786865183807e-06,OK,0.057,2416.8364,0.0,0.8759021000005305,DWaveSampler,OK,105,4,2.386363636363636,0.6454117996618152,11494097.48025,0.0188181818181818,44.0
4x4,SS,qpu,1.1,5000.0,5917.167300000001,29585836.500000004,44,246,89822599.61400001,14792918.250000002,4.0,1.0952,4.462459596165212e-06,OK,0.021,2593.0879,7.292653321507399,0.7222346002236009,DWaveSampler,OK,105,4,2.386363636363636,0.6454117996618152,22189377.375000004,0.0228636363636363,44.0
6x6,SS,qpu,1.1,1.0,12970.76572,12970.76572,79,571,151253046.34702003,22374570.867,0.001159420289855,2.898550724637681,1.4402600251667208e-06,OK,0.0,,,7.527360000181943,DWaveSampler,OK,271,7,3.430379746835443,2.5442764000035822,33561856.300500005,0.0088607594936708,79.0
6x6,SS,qpu,1.1,10.0,12970.76572,129707.65720000002,79,571,151253046.34702003,22374570.867,0.0115942028985507,2.898550724637681,1.4402600251667208e-06,OK,0.004,5246.5995,7.362812919881632,1.6445169001817703,DWaveSampler,OK,271,7,3.430379746835443,2.5442764000035822,33561856.300500005,0.0087721518987341,79.0
6x6,SS,qpu,1.1,50.0,12970.76572,648538.2860000001,79,571,151253046.34702003,22374570.867,0.0579710144927536,2.898550724637681,1.4402600251667208e-06,OK,0.001,6230.8147,27.503117585885555,1.6200390998274088,DWaveSampler,OK,271,7,3.430379746835443,2.5442764000035822,33561856.300500005,0.0097088607594936,79.0
6x6,SS,qpu,1.1,100.0,12970.76572,1297076.5720000002,79,571,151253046.34702003,22374570.867,0.1159420289855072,2.898550724637681,1.4402600251667208e-06,OK,0.0,,,1.5625517000444231,DWaveSampler,OK,271,7,3.430379746835443,2.5442764000035822,33561856.300500005,0.0086835443037974,79.0
