instance,formulation,topology,topology_label,topology_size,timeout,tries,seed,logical_variables,logical_edges,sweep,success,elapsed,physical_qubits,avg_chain_length,max_chain_length,embedding_overhead
15x15,MS,zephyr,qpu:zephyr,-1,300,5,2027,1439,123857,timeout,False,414.2826025999966,,,,
15x15,MS,zephyr,qpu:zephyr,-1,300,5,2028,1439,123857,timeout,False,358.0555424999984,,,,
15x15,MS,zephyr,qpu:zephyr,-1,600,5,2024,1439,123857,timeout,False,687.5515374999959,,,,
15x15,MS,zephyr,qpu:zephyr,-1,600,5,2025,1439,123857,timeout,False,692.5128005999941,,,,
15x15,MS,zephyr,qpu:zephyr,-1,600,5,2026,1439,123857,timeout,False,680.316986400001,,,,
15x15,MS,zephyr,qpu:zephyr,-1,600,5,2027,1439,123857,timeout,False,652.3816632999951,,,,
15x15,MS,zephyr,qpu:zephyr,-1,600,5,2028,1439,123857,timeout,False,715.2205804999976,,,,
15x15,MS,zephyr,qpu:zephyr,-1,1200,5,2024,1439,123857,timeout,False,1265.5854335999975,,,,
15x15,MS,zephyr,qpu:zephyr,-1,1200,5,2025,1439,123857,timeout,False,1281.950603600002,,,,
15x15,MS,zephyr,qpu:zephyr,-1,1200,5,2026,1439,123857,timeout,False,1289.8684549999962,,,,
15x15,MS,zephyr,qpu:zephyr,-1,1200,5,2027,1439,123857,timeout,False,1278.6236406000023,,,,
15x15,MS,zephyr,qpu:zephyr,-1,1200,5,2028,1439,123857,timeout,False,1285.5054249000025,,,,
15x15,MS,zephyr,qpu:zephyr,-1,2400,5,2024,1439,123857,timeout,False,2501.366825199999,,,,
15x15,MS,zephyr,qpu:zephyr,-1,2400,5,2025,1439,123857,timeout,False,2449.537696699997,,,,
15x15,MS,zephyr,qpu:zephyr,-1,2400,5,2026,1439,123857,timeout,False,2470.3341688,,,,
15x15,MS,zephyr,qpu:zephyr,-1,2400,5,2027,1439,123857,timeout,False,2484.077111999999,,,,
15x15,MS,zephyr,qpu:zephyr,-1,2400,5,2028,1439,123857,timeout,False,2448.4219129999983,,,,
